NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
164921,51422,28,12.1625,11.9844,11.8161,,9.398,2251.71,135
164507,50231,28.3618,12.7059,12.3483,12.0939,11.91,9.399,1955.77,125
111355,33343,24.9,13.5202,13.0978,12.7558,11.78,9.4,1384.67,130
131691,1.04348e+06,34.0675,17.6172,17.7732,17.659,16.34,9.405,2346.93,190
16235,26246,35.3,12.9416,12.5319,12.2215,14.99,9.406,2510.36,132.5
33446,23028,26.3,11.5827,11.2296,10.9549,11.77,9.407,2615.99,165
133953,16057,42.2281,12.9631,12.5812,12.3067,11.34,9.407,2905.18,115
65649,31302,28.6,13.6991,13.2852,12.9314,12.15,9.409,1616.72,130
47117,26100,42.1,13.7251,13.1171,12.6318,12.19,9.412,2808.21,117.5
138038,32207,20.9,12.2757,11.9835,11.7714,11.11,9.415,1528.26,130
69290,54431,43.5,13.8674,13.3157,12.8217,12.24,9.416,2495.42,135
159520,34325,34.9145,12.807,12.4055,12.1733,,9.422,2404.88,110
165316,52266,33.7853,12.9269,12.5317,12.2117,11.88,9.431,2327.62,115
117881,41839,20.903,12.6426,12.3343,12.172,12.21,9.438,1443.52,122.5
74625,32306,21.4,12.6163,12.4049,12.242,13.59,9.444,1530.97,130
141993,42681,37.3,13.0159,12.5734,12.1959,11.62,9.447,2899.54,152.5
138530,33140,23.8375,12.55,22.816,12.1164,,9.448,1645.09,127.5
141145,39699,24.5131,13.3399,12.8665,12.583,,9.449,1691.48,132.5
43026,50312,30.5,12.5865,12.3549,12.164,11.63,9.453,2129.5,117.5
139281,34908,31.7438,12.8495,12.4519,12.1586,,9.453,2187.94,122.5
30840,39712,30.3866,12.9753,12.5973,12.3118,11.85,9.458,2094.81,127.5
164836,51223,23.5,12.698,12.3287,12.0252,12.05,9.459,1807.16,117.5
157995,29800,26.4,12.6849,12.457,12.2857,,9.464,1583.5,132.5
158972,32774,24,13.76,13.6933,13.6737,12.42,9.466,1792.32,165
138326,32774,24,12.959,12.774,12.5629,12.42,9.466,1709.27,170
16559,30176,34.7145,12.39,11.8992,11.5998,11.85,9.469,2391.2,115
147732,59655,44.3504,13.1183,12.7074,12.4543,,9.47,3049.86,127.5
165162,51953,29.5,12.3945,12.2262,12.0329,,9.472,2192.78,122.5
157560,28617,25,12.2047,12.0386,11.8683,11.68,9.476,1991.74,135
136102,28186,20.6,12.0764,11.8521,11.6679,11.08,9.476,1760.76,127.5
166297,55520,26.3095,12.6152,12.2697,12.0288,11.96,9.48,1814.84,117.5
139090,34478,26.9,12.4685,12.2857,12.1382,,9.481,1750.03,127.5
141118,39592,30.0491,12.8849,12.51,12.1651,,9.483,2071.63,130
169954,43601,35.2,13.9212,13.641,13.3691,11.66,9.485,1895.64,132.5
124302,62149,37,12.7787,12.481,12.265,11.69,9.488,2606.48,137.5
143342,46552,22.3812,12.7799,12.4188,12.1926,,9.488,1545.09,140
1659,44846,23,12.7573,12.5316,12.3593,11.66,9.49,1329.73,155
135051,23522,27.3,12.695,12.3275,12.146,11.36,9.491,2183.62,160
117727,40506,26.1335,14.9686,14.6583,14.5335,14.35,9.492,1802.75,132.5
