NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
159488,34232,33,11.8151,11.4275,11.1352,11.08,8.372,2372.37,107.5
138648,33390,20.9,11.7978,11.4449,11.2866,,8.375,1263.12,142.5
88140,31428,24,13.3431,13.1566,13.007,10.47,8.376,1769.58,132.5
158541,31428,24,11.7166,11.3838,11.1414,10.47,8.376,1856.24,127.5
145314,52154,38.9,12.2998,11.8755,11.5577,,8.386,2288.85,115
67215,39389,31.5,11.782,11.3663,11.0609,,8.389,2323.93,127.5
169528,72263,20.7,11.0197,10.7468,10.487,10.33,8.394,1539.04,140
53145,50369,25.9,11.4379,11.0245,10.7478,10.93,8.396,2152.79,117.5
126115,279,28.6,12.2847,11.8335,11.4757,10.65,8.4,2251.1,190
27641,37999,23.2,11.8259,11.5044,11.2306,11.02,8.408,1546.76,182.5
165875,53770,27.2,11.8535,11.4786,11.1983,11.04,8.416,1724.78,120
159897,35326,44.7246,12.4804,12.3618,12.0647,,8.416,3075.37,117.5
85513,27800,20.6,11.7141,11.1407,10.733,10.95,8.424,1807.3,127.5
66490,38890,30.9,11.24,10.8803,10.6063,11.03,8.424,2352.65,127.5
155418,11617,24.2,10.7156,10.6577,9.3374,10.65,8.427,2890.01,212.5
130133,6110,29.8,12.0975,11.6835,11.4213,10.28,8.428,1682.82,130
15333,53578,26.2,11.959,11.5805,11.2944,10.86,8.431,1496.97,130
163956,48767,30.9,11.8807,11.3767,10.9891,11.43,8.434,2580.68,117.5
128381,3768,32,12.1305,11.7167,11.4645,10.53,8.434,2198.48,200
156904,24784,22.7,12.2713,11.8333,11.4871,11.38,8.441,1552.54,155
66517,40105,23.1811,11.9835,11.5621,11.2695,11.34,8.455,1600.01,127.5
164995,51564,27.8,11.46,11.1015,10.8494,,8.459,2207.66,115
161632,40179,31.5,12.2365,11.8725,11.6039,11.21,8.473,1803.84,130
139448,35268,21,11.9006,11.6218,11.4435,,8.479,1391.21,125
146330,55740,43.4961,11.8107,11.3714,11.0663,10.35,8.491,2991.62,130
141315,40490,31.5,11.4354,11.1096,10.7403,10.27,8.504,2588.48,140
67650,50942,36,12.2983,11.7936,11.3886,11.75,8.511,2839.68,112.5
166313,55588,25.5,11.6149,11.2729,10.9977,10.53,8.514,1942.37,137.5
137733,31497,26.4,11.8561,11.5325,11.2796,,8.514,1588.59,130
144759,,42.2126,19.6294,19.6231,19.5325,,8.515,2904.12,107.5
141863,42476,37.3,12.2332,11.8474,11.5778,10.67,8.53,2603.76,150
30828,39656,31.5,12.1738,11.7903,11.5298,11.33,8.53,1897.92,127.5
144151,49618,30.9,11.7708,11.4396,11.1645,10.53,8.534,2350.63,120
133115,11527,33.1,11.4085,11.0092,10.7482,10.52,8.536,2637.75,140
129144,4801,26.9,11.4158,11.0389,10.7049,10.26,8.543,2191.08,232.5
130040,5897,23.2,11.6374,11.2583,10.9609,10.5,8.544,1670.46,130
149982,69364,22.9,12.9611,12.5427,12.1719,10.91,8.549,1289.1,110
137219,30440,23.5,11.6214,11.1913,10.874,,8.562,1440.8,137.5
134449,20458,30.3,11.3859,11.0104,10.7407,10.36,8.564,2499.16,165
139161,34641,25.9,11.3124,10.8929,10.6084,,8.569,1957.87,157.5
34815,34641,25.9,12.4192,13.0767,12.0175,,8.569,1581.01,180
166035,54428,43.5,12.4901,12.0706,11.7721,10.7,8.573,2559.1,140
150216,69847,42.0402,11.9385,11.5253,11.2135,10.98,8.594,2892.37,140
67248,39328,31.5,11.9014,11.4507,11.1391,11.28,8.6,2599.92,137.5
144113,49548,30.9965,12.1359,11.6961,11.3859,,8.608,2136.69,115
169525,72260,20.7,11.7653,11.4601,11.2272,10.65,8.612,1494.18,135
56482,49347,30.9,10.7518,10.3826,10.1876,10.82,8.618,2376.86,122.5
158734,32183,22.6,12.3068,12.0601,11.8895,11.45,8.618,1279.44,165
157374,27635,33.6,12.0615,11.6488,11.3806,,8.646,2148.39,135
146933,57924,20.5,11.5646,11.2244,10.9855,10.35,8.647,1624.19,107.5
135440,24464,32.9733,12.0516,11.648,11.3568,10.61,8.649,2272.06,177.5
147100,58470,30.3,11.9029,11.5862,11.3325,10.69,8.65,2379.06,150
147103,58477,23,11.22,11.0598,10.8307,,8.661,1681.63,132.5
159868,35249,25.9,12.3136,11.8747,11.4699,11.23,8.661,2095.54,132.5
157278,26939,21.9,11.6293,11.28,11.0101,11.15,8.665,1872.54,165
169439,72001,21.2,11.5563,11.2354,11.0122,10.63,8.67,1859.83,135
130455,6690,43.5782,12.3037,11.7186,11.3835,,8.671,2997.22,122.5
140301,36914,22.5,11.2613,10.9092,10.662,10.41,8.693,1960.17,140
165956,54111,26.2,12.1427,11.7848,11.5418,11.33,8.696,1868.91,120
130470,6719,30.6,11.1816,10.7665,10.4591,,8.704,2968.87,130
73866,26733,40,11.732,11.3122,11.0285,,8.713,3372.72,142.5
145879,54119,24.9,11.6819,11.2989,11.0291,10.78,8.714,2092.5,120
130625,6993,21,11.5047,11.187,10.853,,8.726,1576.82,137.5
116557,28485,23.8,12.4361,12.0886,11.8057,10.97,8.726,1654.98,135
162294,42741,22,12.3613,11.9956,11.7667,10.56,8.737,1236.45,142.5
140827,38555,33,11.98,11.619,11.3089,,8.74,2537.13,107.5
23949,9549,23.1,12.8327,12.4423,12.1589,11.79,8.74,1275.33,117.5
13927,38031,22.8,11.4405,11.0038,10.6598,10.98,8.743,2046.1,122.5
140458,37483,31.3,11.8111,11.4219,11.0421,10.69,8.752,2493.18,125
163136,45795,40.2,12.4516,12.0651,11.8238,11.1,8.757,2603.09,110
144262,49874,26.8,11.9316,11.4774,11.1859,,8.757,2091.95,120
160192,35931,22.1,11.8006,11.4919,11.2719,10.96,8.775,1627.51,172.5
67251,39384,33.9,12.4008,12.023,11.615,11.36,8.776,2335.94,127.5
69028,50031,30.5,11.9141,11.4969,11.2006,11.28,8.789,2198.47,117.5
157053,25640,22.7,12.0815,11.7659,11.5907,10.73,8.794,1510.88,160
137460,30895,21.8,11.7632,11.3918,11.1079,10.71,8.795,1652.25,130
145846,54013,26.2,12.1211,11.8156,11.6015,,8.797,1804.42,117.5
130508,6793,30.6,11.6717,11.2784,11.0336,10.59,8.797,2848.09,162.5
129533,5264,26.2,11.8124,11.3557,11.035,11.1,8.801,2342.07,230
166330,55665,29.8,12.4115,12.0917,11.8682,10.5,8.801,1930.31,130
56409,49069,30.9,11.941,11.5642,11.2688,11.28,8.817,2563.57,117.5
149354,67379,24,12.7343,12.5373,12.4007,,8.818,1615.31,137.5
112047,34935,21,11.7804,11.5516,11.3612,11.76,8.82,1681,127.5
154089,4777,26.9,11.8843,11.5418,11.2587,10.82,8.825,2274.38,235
139189,34698,26.9,12.5286,12.1559,11.8802,,8.828,1657.37,132.5
150476,70264,23.9,11.8625,11.514,11.276,,8.83,1908.72,167.5
139210,34731,23.7,11.3126,10.9996,10.7181,10.65,8.839,1915.4,150
41675,37520,20.5,12.0995,11.8437,11.6291,11.12,8.845,1415.19,170
32,27723,30,11.8599,11.6003,11.4257,10.53,8.848,2082.19,132.5
140065,36266,22.9,12.0813,11.7942,11.5823,10.66,8.857,1711.84,137.5
169066,71133,22,12.4208,12.1169,11.8344,10.87,8.865,1485.19,130
110991,32648,26.1,12.7641,12.4709,12.1892,11.22,8.871,1521.93,127.5
143951,49157,30.9,11.7627,11.3659,11.0678,10.37,8.878,2546.05,120
143856,48815,30.9,12.1211,11.741,11.4714,,8.886,2481.95,117.5
90222,32614,25.7,11.9221,11.6225,11.4159,10.66,8.888,1932.6,130
142509,43939,38,12.4025,12.0926,11.8427,11.32,8.888,2524.7,110
142511,214037,35.0538,17.1802,17.0572,17.1689,,8.892,2414.41,117.5
146486,56337,26.7,12.1816,11.8004,11.5297,10.91,8.898,1876.27,115
85746,28805,20.6,12.1119,11.7785,11.4781,11.27,8.899,1742.31,127.5
3469,40284,29.2,12.6799,12.2696,11.9449,11.64,8.899,2068.29,132.5
137625,31166,21.8,11.6936,11.3355,11.1011,,8.917,1692.22,130
69272,55080,32.2,12.5091,12.1149,11.7287,10.43,8.93,2621.96,142.5
144911,51251,28.4,12.6616,12.2938,12.0228,,8.931,1583.43,130
163975,48816,20.2,11.9617,11.5808,11.3082,11.39,8.939,1771.41,132.5
69355,55076,32.2,12.8151,12.4629,12.1707,12.61,8.939,2475.18,137.5
162580,43998,40.3162,12.3928,11.9491,11.7613,11.39,8.944,2774.46,137.5
145245,51955,38.9,12.6247,12.125,11.7665,,8.944,2479.13,120
145297,52116,27.9,12.5385,12.1539,11.8548,,8.95,2295.62,115
149686,68442,20.162,12.8404,12.4787,12.1707,11.12,8.955,1392.45,117.5
142519,93119,35.6018,13.6342,13.276,13.0468,13.68,8.956,2451.9,127.5
67255,40251,23.4,13.2228,12.7483,12.3834,11.34,8.957,1192.97,160
159692,34889,25.9,12.3602,12.0262,11.7326,11.49,8.969,1980.32,152.5
132791,11118,31.2173,12.6477,12.2945,12.0179,,8.972,2151.85,250
147606,59426,39.6995,12.4484,12.061,11.7529,,8.972,2732.26,125
164374,49881,42,12.5795,12.2225,11.8748,11.34,8.977,3023.7,112.5
144265,49881,42,13.1448,13.3746,13.2744,11.34,8.977,2990.96,112.5
145967,54429,28,12.0569,11.8247,11.7074,10.2,8.978,1997.88,122.5
146210,55281,21,11.0988,10.8702,10.6364,11.25,8.981,2599.17,105
159834,35193,21,12.2815,11.9327,11.7067,11.19,8.994,1453.82,125
150440,70213,26.5,11.6967,11.4766,11.2862,10.84,8.994,2115.22,165
67287,39412,33.224,12.2189,11.8288,11.5815,11.34,9.016,2289.22,127.5
135808,26232,25,12.1438,11.9149,11.5794,13.83,9.02,1948.68,132.5
155336,11230,43.3553,12.4333,12.0453,11.7359,,9.03,2982.02,152.5
160302,36138,37.5,12.0577,11.7112,11.5488,11.88,9.032,2604.96,110
135038,23498,27.3,12.1628,11.7522,11.4375,,9.035,2178.71,160
138221,32584,26.1,13.0377,12.6428,12.2875,12.61,9.035,1770.18,132.5
141153,39718,31.5,12.1844,11.8334,11.5799,,9.037,2402.92,130
164414,49993,30.121,12.6574,12.2544,11.9727,11.71,9.037,2076.57,120
35664,54761,26.2,12.4,11.9786,11.6873,12.24,9.038,2023.1,117.5
141465,41083,30,11.7446,11.3471,11.0718,10.85,9.038,2456.91,142.5
149826,68870,24.3,11.9558,11.6012,11.341,10.98,9.04,1732.69,152.5
165980,54234,35.8,12.7518,12.3034,11.9553,11.94,9.046,2543.28,112.5
52773,44025,37,12.321,11.965,11.705,11.39,9.047,2667.23,112.5
141011,39251,31.5,12.2824,11.9225,11.6771,,9.06,2132.55,127.5
132446,10272,21.7,12.7959,12.411,12.0818,10.54,9.067,1343.5,115
161987,41621,39.0569,12.6562,12.2548,11.9547,11.68,9.08,2688.3,112.5
19303,39266,24.6341,12.1145,11.759,11.5223,11.68,9.087,1699.79,177.5
133355,12626,24.1,11.3296,11.124,10.9784,10.61,9.088,2173.32,187.5
136430,29067,26.4,12.765,12.4183,12.1491,,9.092,1670.05,130
135916,26932,33.9643,12.9174,12.484,12.4212,11.1,9.092,2339.87,145
145814,53901,25.9,13.1467,12.7497,12.4486,11.27,9.093,1578.64,122.5
